Date,Open,High,Low,Close,Volume
2024-06-17,55.9,56.8,55.3,56.7,48075314
2024-06-18,56.7,57.0,56.2,56.8,47867829
2024-06-19,57.0,57.1,56.6,56.8,53361427
2024-06-20,56.9,57.5,56.3,57.5,58918558
2024-06-21,57.3,58.0,57.1,57.7,78831222
2024-06-24,57.5,57.5,56.6,56.8,68467185
2024-06-25,56.7,56.7,55.7,56.4,69506711
2024-06-26,56.5,56.7,56.1,56.6,41888202
2024-06-27,56.1,56.4,55.5,56.4,63928015
2024-06-28,56.1,56.2,55.6,55.7,86710661
2024-07-01,55.9,57.3,55.9,56.9,145605297
2024-07-02,53.5,53.5,51.9,52.7,248206502
2024-07-03,53.1,53.3,52.6,52.7,111658276
2024-07-04,53.3,54.4,53.2,54.0,110580101
2024-07-05,54.0,54.1,53.4,53.5,55352341
2024-07-08,54.0,55.5,53.6,55.3,120702690
2024-07-09,55.8,56.3,55.0,55.3,83989070
2024-07-10,55.2,55.4,54.2,54.7,57142843
2024-07-11,55.2,55.2,54.2,54.7,60577056
2024-07-12,53.7,53.7,52.8,53.0,97130116
2024-07-15,53.1,53.6,53.0,53.4,46266262
2024-07-16,53.7,53.8,52.9,53.0,52998696
2024-07-17,53.1,53.3,52.8,53.0,73727476
2024-07-18,52.5,52.9,51.8,52.7,80643853
2024-07-19,52.2,52.4,51.7,51.9,50320143
2024-07-22,51.5,51.6,49.85,50.2,87881071
2024-07-23,51.0,51.3,50.5,51.3,54070807
2024-07-26,49.45,50.7,49.15,50.7,90576297
2024-07-29,51.1,51.4,49.95,50.2,53281590
2024-07-30,49.95,50.0,49.2,50.0,55881576
2024-07-31,49.6,50.5,49.35,50.4,48572259
2024-08-01,53.7,54.0,52.6,53.9,177167154
2024-08-02,52.7,52.9,52.0,52.9,91983414
2024-08-05,51.5,51.5,49.4,49.95,114919484
2024-08-06,51.4,51.9,49.5,51.7,91083366
2024-08-07,52.2,53.0,51.7,53.0,66432793
2024-08-08,52.0,52.9,51.6,52.8,41940773
2024-08-09,54.2,54.4,53.5,53.9,92121597
2024-08-12,54.3,54.7,54.2,54.7,60707017
2024-08-13,54.8,54.9,54.3,54.8,40357656
2024-08-14,55.5,55.8,55.2,55.7,96047613
2024-08-15,55.7,55.7,54.5,54.7,36309553
2024-08-16,56.0,56.0,55.4,55.8,68166778
2024-08-19,55.9,56.0,55.4,56.0,42753863
2024-08-20,56.3,56.4,55.6,56.0,47715835
2024-08-21,55.9,56.0,55.3,56.0,35451589
2024-08-22,56.0,56.2,55.5,55.9,30087791
2024-08-23,55.2,55.6,54.8,55.6,31165353
2024-08-26,55.8,55.8,54.9,55.1,27664138
2024-08-27,54.5,54.6,53.8,54.0,38928040
2024-08-28,54.2,55.2,54.1,55.2,29808271
2024-08-29,54.7,54.8,54.3,54.6,23254897
2024-08-30,54.6,55.5,54.6,55.5,62697419
2024-09-02,55.6,55.6,54.8,55.4,35096170
2024-09-03,55.2,55.6,55.0,55.1,27896571
2024-09-04,53.0,54.1,52.3,53.3,85748502
2024-09-05,53.9,54.6,53.6,53.9,37783857
2024-09-06,54.3,54.5,53.6,54.5,24617263
2024-09-09,52.9,53.8,52.6,53.8,46437090
2024-09-10,53.8,53.8,52.9,53.3,34262285
2024-09-11,53.3,54.0,53.2,54.0,24122229
2024-09-12,55.1,55.4,54.9,55.2,35327391
2024-09-13,55.2,55.3,54.3,54.6,30635902
2024-09-16,54.6,54.8,54.3,54.5,24475651
2024-09-18,54.1,54.2,53.3,53.8,57765815
2024-09-19,53.7,54.2,53.5,53.7,44964271
2024-09-20,54.1,54.4,53.1,53.8,71866316
2024-09-23,53.8,54.0,53.4,54.0,30909169
2024-09-24,54.0,54.1,53.6,53.9,43459670
2024-09-25,54.3,54.8,54.1,54.5,52411766
2024-09-26,54.9,55.1,54.7,54.9,47535593
2024-09-27,55.4,55.4,55.0,55.0,40025086
2024-09-30,54.8,55.2,53.8,53.8,42157880
2024-10-01,53.6,54.2,53.6,53.7,24979119
2024-10-04,52.6,52.9,52.2,52.6,63348072
2024-10-07,53.0,53.3,52.3,52.9,43397182
2024-10-08,52.1,52.6,52.1,52.6,39756365
2024-10-09,52.3,52.5,51.7,51.9,42465533
2024-10-11,51.8,52.3,51.7,51.8,32833335
2024-10-14,52.1,52.6,52.0,52.5,27090440
2024-10-15,52.6,52.8,52.4,52.6,25326253
2024-10-16,51.4,51.9,51.3,51.7,61244501
2024-10-17,51.6,51.9,51.6,51.7,32439299
2024-10-18,51.5,51.7,50.5,50.5,79201330
2024-10-21,50.3,50.9,50.0,50.9,63151405
2024-10-22,50.4,50.9,50.4,50.7,51036231
2024-10-23,50.7,50.7,50.2,50.2,50524600
2024-10-24,49.95,50.1,49.85,49.9,50120168
2024-10-25,49.95,50.2,49.8,49.8,47613099
2024-10-28,49.8,50.0,49.25,49.25,49591853
2024-10-29,48.85,48.9,48.15,48.4,82221016
2024-10-30,48.5,48.65,48.0,48.15,54660571
2024-11-01,45.75,47.0,45.65,46.6,142032069
2024-11-04,46.6,46.7,46.0,46.0,60431583
2024-11-05,45.5,45.65,45.05,45.35,85444501
2024-11-06,45.0,46.45,45.0,45.85,79644028
2024-11-07,45.95,47.95,45.9,47.15,93698066
2024-11-08,47.4,47.8,46.65,46.65,63092705
2024-11-11,46.45,46.65,45.7,46.55,46564971
2024-11-12,45.95,46.95,45.75,46.1,70364045
2024-11-13,45.9,46.35,45.7,45.8,53138929
2024-11-14,45.6,45.6,45.0,45.0,79049126
2024-11-15,45.0,45.4,44.6,45.0,52930527
2024-11-18,44.9,45.8,44.85,45.1,69335119
2024-11-19,45.2,46.0,45.2,45.2,60279202
2024-11-20,45.2,45.45,44.9,44.9,61462099
2024-11-21,44.55,44.75,44.4,44.4,67566092
2024-11-22,44.75,45.2,44.45,44.45,50873807
2024-11-25,45.1,45.45,44.9,44.9,77140885
2024-11-26,44.8,45.7,44.6,45.4,42091454
2024-11-27,44.85,44.9,43.95,44.4,89385803
2024-11-28,43.95,44.1,43.0,43.9,84388891
2024-11-29,43.9,44.1,43.25,43.55,66391636
2024-12-02,43.95,44.6,43.8,44.6,38808605
2024-12-03,45.1,45.15,44.3,44.8,50827676
2024-12-04,44.25,44.45,44.0,44.45,51839157
2024-12-05,44.05,44.2,43.6,43.6,57737775
2024-12-06,43.15,43.95,43.15,43.5,43886931
2024-12-09,43.5,44.05,43.5,44.05,33312746
2024-12-10,43.8,43.95,43.5,43.7,33052078
2024-12-11,43.25,43.45,43.0,43.0,44548779
2024-12-12,43.15,43.3,42.15,42.5,73331330
2024-12-13,42.0,42.1,40.6,41.45,116092296
2024-12-16,41.3,41.6,40.7,41.45,85871642
2024-12-17,42.0,43.4,41.95,42.55,102542478
2024-12-18,43.1,43.85,43.0,43.7,88714676
2024-12-19,43.0,43.6,42.7,43.0,69363809
2024-12-20,42.6,43.0,42.15,42.35,70140648
2024-12-23,42.75,43.3,42.75,42.9,36819095
2024-12-24,44.4,44.95,43.7,44.0,133767867
2024-12-25,44.5,44.7,44.05,44.05,52749372
2024-12-26,44.3,44.3,43.5,43.7,28538664
2024-12-27,43.55,44.05,43.45,43.6,22762969
2024-12-30,43.2,43.6,43.1,43.1,25753824
2024-12-31,42.7,43.45,42.2,43.05,43755276
2025-01-02,42.9,43.7,42.85,43.7,65489284
2025-01-03,43.95,44.15,43.1,43.1,42529890
2025-01-06,43.6,43.75,43.35,43.4,33049291
2025-01-07,43.65,43.8,42.35,42.35,59202089
2025-01-08,42.4,42.9,42.35,42.7,38044876
2025-01-09,42.7,42.95,41.6,41.6,47183759
2025-01-10,41.25,41.6,40.8,41.3,41145927
2025-01-13,41.0,41.7,40.8,40.9,49325493
2025-01-14,41.2,42.25,41.05,42.25,37186189
2025-01-15,42.05,42.5,41.45,41.45,36667637
2025-01-16,41.9,42.25,41.55,41.55,37412485
2025-01-17,41.4,41.75,41.2,41.2,44241179
2025-01-20,41.55,42.75,41.5,42.75,47464919
2025-01-21,42.75,43.3,42.4,42.95,42396410
2025-01-22,39.7,40.55,39.7,40.2,149025482
2025-02-03,40.2,41.65,40.0,40.5,112511997
2025-02-04,40.95,40.95,40.1,40.1,58336092
2025-02-05,40.4,40.65,40.1,40.1,34136699
2025-02-06,40.3,40.35,39.95,40.1,32830275
2025-02-07,40.1,40.3,40.1,40.15,23231817
2025-02-10,40.15,40.3,39.9,40.2,31106682
2025-02-11,40.3,40.5,40.15,40.4,29978227
2025-02-12,40.4,40.5,40.05,40.1,28301284
2025-02-13,40.25,41.75,40.2,41.4,64119946
2025-02-14,41.5,41.75,41.05,41.4,28678717
2025-02-17,41.5,42.2,41.45,42.0,33131130
2025-02-18,42.05,42.3,41.7,41.95,36105442
2025-02-19,42.2,42.95,42.15,42.55,54879870
2025-02-20,43.0,43.3,42.85,43.0,40230687
2025-02-21,43.35,43.6,43.2,43.6,34489308
2025-02-24,43.05,43.65,42.8,43.55,30334019
2025-02-25,43.05,43.5,42.9,43.3,36339641
2025-02-26,43.1,43.8,43.05,43.6,35296664
2025-02-27,44.0,44.15,43.4,43.7,69493077
2025-03-03,43.1,43.6,42.85,43.6,53313266
2025-03-04,42.95,43.85,42.9,43.6,44412629
2025-03-05,44.1,44.5,43.7,44.0,46628841
2025-03-06,44.3,44.45,43.9,44.0,30510374
2025-03-07,44.0,44.6,43.8,44.15,31930282
2025-03-10,44.55,45.3,44.4,45.05,59203254
2025-03-11,44.3,45.0,44.2,44.85,68311501
2025-03-12,44.7,44.95,44.1,44.8,43460814
2025-03-13,44.7,44.7,43.6,43.7,57922874
2025-03-14,43.55,45.05,43.5,44.9,68624821
2025-03-17,45.0,45.15,44.1,44.1,44408424
2025-03-18,44.2,45.0,44.15,44.5,42307201
2025-03-19,44.5,44.9,44.3,44.3,37455059
2025-03-20,44.7,45.15,44.7,45.15,43495732
2025-03-21,45.0,45.0,44.5,45.0,39471745
2025-03-24,45.0,45.3,44.6,44.85,36174329
2025-03-25,45.0,45.2,44.45,44.85,36633108
2025-03-26,44.75,44.8,44.3,44.55,28296047
2025-03-27,44.1,44.8,44.0,44.8,43394366
2025-03-28,44.6,44.6,44.1,44.55,38051275
2025-03-31,43.55,44.65,43.3,44.65,62053019
2025-04-01,47.2,48.0,45.25,45.95,143677906
2025-04-02,45.8,45.8,45.15,45.25,50674784
2025-04-07,40.75,40.75,40.75,40.75,14322325
2025-04-08,39.55,42.0,39.5,41.7,121853267
2025-04-09,40.55,41.5,39.7,39.9,85701529
2025-04-10,43.85,43.85,43.5,43.85,49755593
2025-04-11,42.7,44.3,42.1,44.1,69607331
2025-04-14,44.8,45.35,44.3,44.3,56583195
2025-04-15,44.5,44.95,44.4,44.7,31336537
2025-04-16,44.2,45.0,44.2,44.95,35970732
2025-04-17,44.85,44.85,44.05,44.1,20672164
2025-04-18,44.45,44.45,44.1,44.3,16139754
2025-04-21,44.35,44.35,43.65,43.65,14753763
2025-04-22,43.6,44.55,43.55,44.3,27874721
2025-04-23,44.95,45.3,44.6,45.1,33826518
2025-04-24,44.75,44.95,43.4,43.4,42911648
2025-04-25,44.1,44.7,43.95,44.65,54530408
2025-04-28,44.55,44.9,44.2,44.9,23062637
2025-04-29,44.7,45.1,44.65,44.95,28542996
2025-04-30,44.75,45.3,44.75,45.2,30414588
2025-05-02,45.2,45.85,45.15,45.65,31343335
2025-05-05,45.75,45.8,44.6,45.05,35467426
2025-05-06,45.0,45.8,44.6,45.4,43527708
2025-05-07,45.6,45.9,45.4,45.75,31901496
2025-05-08,45.4,45.75,45.3,45.3,21261514
2025-05-09,45.2,45.7,45.15,45.55,16916458
2025-05-12,45.75,46.45,45.6,46.45,34164000
2025-05-13,46.65,46.85,46.35,46.55,32070699
2025-05-14,46.9,47.05,46.8,47.0,27592069
2025-05-15,46.95,47.5,46.85,47.5,42408969
2025-05-16,47.6,47.8,47.3,47.8,29107357
2025-05-19,47.6,47.95,47.5,47.75,36989636
2025-05-20,47.95,48.0,47.25,47.85,28818926
2025-05-21,48.0,49.7,47.9,49.55,93873392
2025-05-22,49.45,49.8,48.9,49.45,71129562
2025-05-23,48.1,49.45,48.05,48.05,71795460
2025-05-26,47.8,48.8,47.1,47.1,79080596
2025-05-27,47.1,47.6,46.0,46.0,99894392
2025-05-28,46.4,47.45,46.15,47.05,98207783
2025-05-29,47.4,48.1,46.75,46.75,149194801
